OrderID,CustomerName,ProductName,Quantity,Discount,LineRevenue
144,"Lekha Raj","Badminton Racket",2,0.00,96654.2600
144,"Lekha Raj","Mixer Grinder",5,0.05,159650.6825
147,"Lekha Raj",Microwave,3,0.00,139017.9300
182,"Lekha Raj","Cricket Bat",1,0.05,17129.7730
182,"Lekha Raj","Badminton Racket",5,0.20,193308.5200
182,"Lekha Raj",Sofa,1,0.15,16071.4600
182,"Lekha Raj","Yoga Mat",4,0.10,174117.9240
200,"Lekha Raj","Office Chair",9,0.05,320723.3250
111,"Ishwar Yadav","Dumbbell Set",10,0.15,113883.3400
111,"Ishwar Yadav","Water Purifier",11,0.10,205455.5910
111,"Ishwar Yadav","File Folder",6,0.20,134736.9120
111,"Ishwar Yadav","Cricket Bat",11,0.00,198344.7400
112,"Ishwar Yadav","Badminton Racket",1,0.00,48327.1300
112,"Ishwar Yadav",Bookshelf,9,0.00,372357.1800
112,"Ishwar Yadav","Water Purifier",5,0.05,98577.1775
118,"Ishwar Yadav",Fan,2,0.00,59608.0600
118,"Ishwar Yadav",Football,9,0.05,54883.8180
128,"Ishwar Yadav","Study Table",1,0.00,37589.5600
128,"Ishwar Yadav",Sofa,7,0.15,112500.2200
128,"Ishwar Yadav",Monitor,10,0.05,520484.4800
168,"Ishwar Yadav","File Folder",12,0.05,320000.1660
168,"Ishwar Yadav",Iron,4,0.00,202166.3600
168,"Ishwar Yadav",Bookshelf,9,0.00,372357.1800
197,"Ishwar Yadav",Printer,4,0.05,53398.9300
197,"Ishwar Yadav","Office Chair",10,0.20,300092.0000
197,"Ishwar Yadav",Bed,4,0.05,91510.3080
203,"Ishwar Yadav",Bookshelf,2,0.00,82746.0400
203,"Ishwar Yadav","Badminton Racket",7,0.05,321375.4145
203,"Ishwar Yadav","Pen Set",10,0.00,482091.6000
211,"Ishwar Yadav",Laptop,5,0.05,164451.1750
220,"Ishwar Yadav","Water Purifier",12,0.05,236585.2260
220,"Ishwar Yadav","Pen Set",9,0.00,433882.4400
220,"Ishwar Yadav","Mixer Grinder",6,0.15,171414.4170
220,"Ishwar Yadav",Microwave,9,0.10,375348.4110
9,"Sudiksha Aggarwal",Sofa,9,0.15,144643.1400
9,"Sudiksha Aggarwal",Whiteboard,12,0.05,609469.9920
9,"Sudiksha Aggarwal",Football,3,0.00,19257.4800
9,"Sudiksha Aggarwal","Yoga Mat",5,0.00,241830.4500
148,"Sudiksha Aggarwal",Microwave,5,0.00,231696.5500
148,"Sudiksha Aggarwal",Sofa,11,0.10,187185.2400
148,"Sudiksha Aggarwal",Headphones,5,0.00,106733.8500
31,"Chanchal Tripathi","File Folder",3,0.20,67368.4560
76,"Chanchal Tripathi",Marker,3,0.00,143752.1100
76,"Chanchal Tripathi","Water Purifier",8,0.15,141121.0120
91,"Chanchal Tripathi","Yoga Mat",2,0.05,91895.5710
133,"Chanchal Tripathi",Sofa,4,0.00,75630.4000
185,"Chanchal Tripathi",Laptop,1,0.00,34621.3000
185,"Chanchal Tripathi","Dumbbell Set",8,0.15,91106.6720
26,"Ekiya Suresh","Cricket Bat",5,0.10,81141.0300
26,"Ekiya Suresh",Monitor,5,0.15,232848.3200
26,"Ekiya Suresh","Yoga Mat",7,0.00,338562.6300
40,"Ekiya Suresh","Cricket Bat",8,0.15,122613.1120
40,"Ekiya Suresh",Monitor,5,0.20,219151.3600
40,"Ekiya Suresh","Water Purifier",6,0.00,124518.5400
40,"Ekiya Suresh","Office Chair",10,0.10,337603.5000
50,"Ekiya Suresh","Office Chair",8,0.00,300092.0000
50,"Ekiya Suresh","Yoga Mat",12,0.10,522353.7720
69,"Ekiya Suresh",Bed,12,0.05,274530.9240
123,"Ekiya Suresh",Microwave,10,0.00,463393.1000
123,"Ekiya Suresh",Whiteboard,5,0.00,267311.4000
123,"Ekiya Suresh",Router,11,0.05,495169.5925
123,"Ekiya Suresh","Office Chair",6,0.10,202562.1000
134,"Ekiya Suresh",Bookshelf,4,0.00,165492.0800
134,"Ekiya Suresh","Mobile Phone",6,0.20,112282.3200
134,"Ekiya Suresh","Dumbbell Set",1,0.20,10718.4320
134,"Ekiya Suresh",Iron,11,0.00,555957.4900
142,"Ekiya Suresh",Router,11,0.20,416984.9200
142,"Ekiya Suresh",Football,6,0.15,32737.7160
142,"Ekiya Suresh","File Folder",6,0.15,143157.9690
142,"Ekiya Suresh",Headphones,2,0.10,38424.1860
163,"Ekiya Suresh",Whiteboard,4,0.05,203156.6640
163,"Ekiya Suresh",Football,9,0.20,46217.9520
166,"Ekiya Suresh",Sofa,5,0.15,80357.3000
166,"Ekiya Suresh","Dumbbell Set",4,0.15,45553.3360
175,"Ekiya Suresh",Headphones,2,0.00,42693.5400
175,"Ekiya Suresh","Pen Set",3,0.05,137396.1060
175,"Ekiya Suresh","Cricket Bat",6,0.00,108188.0400
193,"Ekiya Suresh","Office Chair",10,0.15,318847.7500
35,"Wriddhish Bhardwaj",Whiteboard,10,0.15,454429.3800
35,"Wriddhish Bhardwaj","Mobile Phone",1,0.20,18713.7200
35,"Wriddhish Bhardwaj","Office Chair",10,0.05,356359.2500
35,"Wriddhish Bhardwaj","Pen Set",8,0.00,385673.2800
56,"Wriddhish Bhardwaj","Study Table",9,0.00,338306.0400
56,"Wriddhish Bhardwaj",Router,3,0.00,142153.9500
195,"Wriddhish Bhardwaj","Pen Set",11,0.00,530300.7600
195,"Wriddhish Bhardwaj","File Folder",5,0.00,140350.9500
195,"Wriddhish Bhardwaj","Mixer Grinder",6,0.10,181497.6180
207,"Wriddhish Bhardwaj",Sofa,3,0.10,51050.5200
3,"Ekapad Walia",Laptop,12,0.15,353137.2600
3,"Ekapad Walia",Headphones,1,0.00,21346.7700
58,"Ekapad Walia",Iron,5,0.20,202166.3600
58,"Ekapad Walia",Printer,3,0.00,42157.0500
85,"Ekapad Walia",Monitor,8,0.00,438302.7200
85,"Ekapad Walia",Printer,2,0.00,28104.7000
85,"Ekapad Walia","Mobile Phone",9,0.00,210529.3500
85,"Ekapad Walia",Sofa,7,0.05,125735.5400
120,"Ekapad Walia",Microwave,9,0.20,333643.0320
125,"Ekapad Walia","Pen Set",9,0.00,433882.4400
204,"Ekapad Walia","Pen Set",7,0.05,320590.9140
5,"Alka Wable","Cricket Bat",7,0.00,126219.3800
21,"Alka Wable","Study Table",3,0.05,107130.2460
21,"Alka Wable",Router,1,0.00,47384.6500
42,"Alka Wable",Notebook,9,0.05,4082.7960
49,"Alka Wable","Yoga Mat",12,0.05,551373.4260
49,"Alka Wable","Mixer Grinder",5,0.00,168053.3500
49,"Alka Wable",Bed,5,0.00,120408.3000
49,"Alka Wable",Notebook,2,0.15,811.7840
66,"Alka Wable",Headphones,2,0.15,36289.5090
66,"Alka Wable","Study Table",3,0.05,107130.2460
66,"Alka Wable",Monitor,12,0.00,657454.0800
66,"Alka Wable","File Folder",9,0.15,214736.9535
87,"Alka Wable","Mobile Phone",4,0.00,93568.6000
87,"Alka Wable","Pen Set",8,0.00,385673.2800
87,"Alka Wable",Bookshelf,11,0.00,455103.2200
122,"Alka Wable","Mixer Grinder",5,0.20,134442.6800
122,"Alka Wable","Study Table",8,0.20,240573.1840
126,"Alka Wable",Bed,2,0.20,38530.6560
132,"Alka Wable","Mixer Grinder",3,0.20,80665.6080
132,"Alka Wable",Bed,11,0.05,251653.3470
132,"Alka Wable",Iron,12,0.05,576174.1260
154,"Alka Wable","Dumbbell Set",8,0.10,96465.8880
154,"Alka Wable",Router,8,0.05,360123.3400
177,"Alka Wable","Pen Set",9,0.15,368800.0740
177,"Alka Wable","Cricket Bat",5,0.15,76633.1950
208,"Alka Wable","Dumbbell Set",12,0.15,136660.0080
208,"Alka Wable","Yoga Mat",2,0.10,87058.9620
208,"Alka Wable",Printer,12,0.00,168628.2000
208,"Alka Wable","Badminton Racket",1,0.00,48327.1300
15,"Devika Rastogi",Sofa,9,0.15,144643.1400
15,"Devika Rastogi",Router,5,0.10,213230.9250
15,"Devika Rastogi","File Folder",11,0.10,277894.8810
72,"Devika Rastogi","Cricket Bat",6,0.15,91959.8340
72,"Devika Rastogi","Mixer Grinder",12,0.20,322662.4320
72,"Devika Rastogi","Pen Set",8,0.20,308538.6240
77,"Devika Rastogi",Sofa,2,0.05,35924.4400
77,"Devika Rastogi","Cricket Bat",6,0.10,97369.2360
77,"Devika Rastogi","Mixer Grinder",5,0.15,142845.3475
77,"Devika Rastogi",Router,7,0.15,281938.6675
78,"Devika Rastogi",Monitor,6,0.10,295854.3360
78,"Devika Rastogi","Study Table",5,0.15,159755.6300
78,"Devika Rastogi","Pen Set",5,0.00,241045.8000
78,"Devika Rastogi","Water Purifier",11,0.05,216869.7905
17,"Umang Bhatt","Cricket Bat",5,0.10,81141.0300
17,"Umang Bhatt",Iron,8,0.00,404332.7200
24,"Umang Bhatt",Laptop,3,0.10,93477.5100
24,"Umang Bhatt",Monitor,5,0.00,273939.2000
24,"Umang Bhatt",Bookshelf,2,0.10,74471.4360
34,"Umang Bhatt",Printer,7,0.15,83611.4825
34,"Umang Bhatt","Study Table",3,0.15,95853.3780
61,"Umang Bhatt",Microwave,3,0.10,125116.1370
61,"Umang Bhatt",Iron,7,0.15,300722.4605
61,"Umang Bhatt","File Folder",8,0.00,224561.5200
61,"Umang Bhatt",Bookshelf,8,0.00,330984.1600
67,"Umang Bhatt","Mixer Grinder",10,0.10,302496.0300
67,"Umang Bhatt",Printer,12,0.00,168628.2000
67,"Umang Bhatt","Pen Set",2,0.00,96418.3200
67,"Umang Bhatt","Office Chair",7,0.00,262580.5000
79,"Umang Bhatt","Dumbbell Set",10,0.20,107184.3200
79,"Umang Bhatt","Badminton Racket",6,0.00,289962.7800
79,"Umang Bhatt","Study Table",11,0.00,413485.1600
82,"Umang Bhatt","Yoga Mat",2,0.05,91895.5710
82,"Umang Bhatt",Bed,2,0.00,48163.3200
82,"Umang Bhatt","Badminton Racket",4,0.20,154646.8160
135,"Umang Bhatt","Pen Set",12,0.05,549584.4240
135,"Umang Bhatt",Bed,6,0.20,115591.9680
135,"Umang Bhatt",Router,9,0.00,426461.8500
135,"Umang Bhatt",Marker,2,0.15,81459.5290
174,"Umang Bhatt",Iron,1,0.15,42960.3515
174,"Umang Bhatt",Bookshelf,6,0.20,198590.4960
174,"Umang Bhatt",Football,5,0.10,28886.2200
174,"Umang Bhatt",Router,11,0.20,416984.9200
173,"Abhimanyu Bobal",Sofa,9,0.10,153151.5600
173,"Abhimanyu Bobal","File Folder",8,0.00,224561.5200
173,"Abhimanyu Bobal",Iron,9,0.05,432130.5945
184,"Abhimanyu Bobal",Notebook,11,0.15,4464.8120
184,"Abhimanyu Bobal","Pen Set",9,0.00,433882.4400
184,"Abhimanyu Bobal","File Folder",11,0.20,247017.6720
184,"Abhimanyu Bobal",Headphones,6,0.00,128080.6200
218,"Abhimanyu Bobal","Badminton Racket",2,0.10,86988.8340
218,"Abhimanyu Bobal","Pen Set",4,0.10,173552.9760
218,"Abhimanyu Bobal",Notebook,9,0.00,4297.6800
149,"Ekavir Varkey",Router,10,0.15,402769.5250
149,"Ekavir Varkey","Cricket Bat",10,0.00,180313.4000
155,"Ekavir Varkey","Study Table",1,0.00,37589.5600
155,"Ekavir Varkey","Office Chair",5,0.05,178179.6250
155,"Ekavir Varkey","Water Purifier",10,0.20,166024.7200
155,"Ekavir Varkey",Notebook,11,0.15,4464.8120
191,"Ekavir Varkey","Study Table",12,0.00,451074.7200
191,"Ekavir Varkey",Sofa,8,0.00,151260.8000
165,"Urvashi Kibe","Cricket Bat",11,0.15,168593.0290
165,"Urvashi Kibe","Dumbbell Set",12,0.00,160776.4800
165,"Urvashi Kibe","Yoga Mat",10,0.05,459477.8550
189,"Urvashi Kibe","Cricket Bat",4,0.05,68519.0920
189,"Urvashi Kibe",Microwave,5,0.00,231696.5500
7,"Irya Sampath",Printer,8,0.00,112418.8000
7,"Irya Sampath",Whiteboard,2,0.05,101578.3320
7,"Irya Sampath",Router,9,0.00,426461.8500
7,"Irya Sampath",Bookshelf,1,0.15,35167.0670
22,"Irya Sampath","Pen Set",1,0.20,38567.3280
115,"Irya Sampath","Study Table",12,0.05,428520.9840
117,"Irya Sampath",Bookshelf,10,0.20,330984.1600
117,"Irya Sampath","Yoga Mat",3,0.00,145098.2700
117,"Irya Sampath","Cricket Bat",2,0.10,32456.4120
119,"Irya Sampath",Laptop,3,0.00,103863.9000
119,"Irya Sampath",Notebook,6,0.20,2292.0960
119,"Irya Sampath",Sofa,8,0.00,151260.8000
127,"Irya Sampath",Football,8,0.10,46217.9520
127,"Irya Sampath",Printer,1,0.00,14052.3500
127,"Irya Sampath","Dumbbell Set",1,0.00,13398.0400
127,"Irya Sampath",Marker,4,0.20,153335.5840
158,"Irya Sampath",Fan,7,0.10,187765.3890
158,"Irya Sampath",Microwave,1,0.00,46339.3100
160,"Irya Sampath",Marker,6,0.15,244378.5870
160,"Irya Sampath",Laptop,2,0.05,65780.4700
160,"Irya Sampath",Notebook,10,0.00,4775.2000
217,"Irya Sampath",Bed,4,0.05,91510.3080
217,"Irya Sampath",Fan,6,0.00,178824.1800
217,"Irya Sampath",Football,7,0.00,44934.1200
36,"Darsh Rau",Marker,5,0.05,227607.5075
36,"Darsh Rau","Study Table",8,0.00,300716.4800
130,"Darsh Rau",Headphones,9,0.20,153696.7440
130,"Darsh Rau",Microwave,9,0.10,375348.4110
130,"Darsh Rau","Mixer Grinder",1,0.05,31930.1365
43,"Logan Sami",Whiteboard,8,0.00,427698.2400
86,"Logan Sami",Iron,7,0.00,353791.1300
86,"Logan Sami",Monitor,1,0.15,46569.6640
86,"Logan Sami",Marker,6,0.00,287504.2200
86,"Logan Sami",Fan,8,0.05,226510.6280
140,"Logan Sami","Pen Set",5,0.00,241045.8000
140,"Logan Sami",Bed,2,0.00,48163.3200
140,"Logan Sami",Iron,12,0.00,606499.0800
157,"Logan Sami","Dumbbell Set",11,0.10,132640.5960
157,"Logan Sami","Mixer Grinder",2,0.00,67221.3400
157,"Logan Sami",Bookshelf,2,0.05,78608.7380
157,"Logan Sami",Fan,6,0.20,143059.3440
179,"Logan Sami","Cricket Bat",10,0.20,144250.7200
179,"Logan Sami","Dumbbell Set",2,0.10,24116.4720
201,"Logan Sami",Laptop,9,0.10,280432.5300
212,"Logan Sami",Whiteboard,9,0.10,433044.4680
212,"Logan Sami","File Folder",9,0.05,240000.1245
37,"Saanvi Chaudhari",Printer,7,0.10,88529.8050
37,"Saanvi Chaudhari",Fan,10,0.15,253334.2550
37,"Saanvi Chaudhari","Mixer Grinder",1,0.00,33610.6700
37,"Saanvi Chaudhari",Laptop,11,0.05,361792.5850
70,"Saanvi Chaudhari",Microwave,6,0.20,222428.6880
70,"Saanvi Chaudhari","Water Purifier",2,0.20,33204.9440
102,"Saanvi Chaudhari",Sofa,10,0.10,170168.4000
102,"Saanvi Chaudhari","Yoga Mat",2,0.00,96732.1800
102,"Saanvi Chaudhari",Bed,3,0.00,72244.9800
27,"Warjas Ganesan","Cricket Bat",10,0.00,180313.4000
27,"Warjas Ganesan","Yoga Mat",7,0.10,304706.3670
27,"Warjas Ganesan",Router,1,0.00,47384.6500
27,"Warjas Ganesan",Fan,5,0.00,149020.1500
63,"Warjas Ganesan",Bookshelf,7,0.20,231688.9120
63,"Warjas Ganesan",Bed,9,0.20,173387.9520
63,"Warjas Ganesan",Monitor,1,0.15,46569.6640
83,"Warjas Ganesan",Bookshelf,9,0.00,372357.1800
101,"Warjas Ganesan","Yoga Mat",9,0.00,435294.8100
107,"Warjas Ganesan",Bed,10,0.05,228775.7700
55,"Daniel Gala","File Folder",5,0.10,126315.8550
55,"Daniel Gala",Sofa,10,0.00,189076.0000
55,"Daniel Gala","Water Purifier",10,0.15,176401.2650
55,"Daniel Gala",Whiteboard,2,0.20,85539.6480
57,"Daniel Gala",Sofa,5,0.15,80357.3000
57,"Daniel Gala",Football,8,0.00,51353.2800
62,"Daniel Gala",Bed,12,0.05,274530.9240
62,"Daniel Gala",Whiteboard,5,0.15,227214.6900
202,"Daniel Gala",Laptop,11,0.05,361792.5850
202,"Daniel Gala",Microwave,3,0.00,139017.9300
202,"Daniel Gala",Football,2,0.10,11554.4880
6,"Bhavika Sampath","Mobile Phone",7,0.15,139183.2925
20,"Bhavika Sampath",Notebook,4,0.15,1623.5680
25,"Bhavika Sampath","Water Purifier",12,0.05,236585.2260
25,"Bhavika Sampath","Office Chair",1,0.10,33760.3500
25,"Bhavika Sampath",Bookshelf,9,0.15,316503.6030
25,"Bhavika Sampath","Mobile Phone",12,0.15,238599.9300
28,"Bhavika Sampath","Cricket Bat",12,0.00,216376.0800
28,"Bhavika Sampath","Office Chair",11,0.00,412626.5000
28,"Bhavika Sampath",Microwave,5,0.10,208526.8950
28,"Bhavika Sampath",Marker,11,0.15,448027.4095
44,"Bhavika Sampath",Router,5,0.10,213230.9250
44,"Bhavika Sampath","Yoga Mat",9,0.20,348235.8480
44,"Bhavika Sampath",Microwave,8,0.05,352178.7560
44,"Bhavika Sampath",Iron,7,0.20,283032.9040
98,"Bhavika Sampath",Monitor,4,0.00,219151.3600
98,"Bhavika Sampath","Water Purifier",11,0.05,216869.7905
98,"Bhavika Sampath",Microwave,4,0.20,148285.7920
109,"Bhavika Sampath",Sofa,6,0.20,90756.4800
109,"Bhavika Sampath","Yoga Mat",3,0.00,145098.2700
109,"Bhavika Sampath",Bed,9,0.15,184224.6990
109,"Bhavika Sampath","Study Table",2,0.10,67661.2080
136,"Bhavika Sampath",Bed,6,0.15,122816.4660
136,"Bhavika Sampath",Monitor,5,0.00,273939.2000
136,"Bhavika Sampath",Headphones,8,0.10,153696.7440
137,"Bhavika Sampath","Yoga Mat",6,0.10,261176.8860
138,"Bhavika Sampath",Microwave,11,0.00,509732.4100
138,"Bhavika Sampath","Badminton Racket",1,0.00,48327.1300
138,"Bhavika Sampath","Yoga Mat",10,0.15,411111.7650
209,"Bhavika Sampath",Laptop,8,0.05,263121.8800
209,"Bhavika Sampath",Iron,4,0.00,202166.3600
209,"Bhavika Sampath",Bookshelf,9,0.05,353739.3210
210,"Bhavika Sampath",Football,2,0.00,12838.3200
210,"Bhavika Sampath",Headphones,3,0.05,60838.2945
71,"Darsh Murthy",Whiteboard,3,0.00,160386.8400
71,"Darsh Murthy",Iron,8,0.20,323466.1760
92,"Darsh Murthy",Microwave,12,0.20,444857.3760
92,"Darsh Murthy","Study Table",11,0.10,372136.6440
92,"Darsh Murthy",Fan,5,0.05,141569.1425
92,"Darsh Murthy","Mobile Phone",11,0.00,257313.6500
95,"Darsh Murthy",Whiteboard,7,0.00,374235.9600
95,"Darsh Murthy","Yoga Mat",11,0.00,532026.9900
95,"Darsh Murthy",Monitor,6,0.00,328727.0400
95,"Darsh Murthy",Bed,11,0.05,251653.3470
113,"Darsh Murthy",Iron,2,0.10,90974.8620
116,"Darsh Murthy",Notebook,7,0.20,2674.1120
116,"Darsh Murthy",Sofa,6,0.15,96428.7600
116,"Darsh Murthy","Pen Set",10,0.00,482091.6000
139,"Darsh Murthy",Notebook,1,0.10,429.7680
139,"Darsh Murthy","Pen Set",3,0.15,122933.3580
139,"Darsh Murthy","Water Purifier",8,0.00,166024.7200
180,"Darsh Murthy","Mixer Grinder",9,0.00,302496.0300
32,"Dakshesh Trivedi","Mixer Grinder",8,0.05,255441.0920
32,"Dakshesh Trivedi","File Folder",5,0.20,112280.7600
32,"Dakshesh Trivedi",Router,4,0.20,151630.8800
32,"Dakshesh Trivedi","Yoga Mat",11,0.00,532026.9900
46,"Dakshesh Trivedi",Bed,6,0.20,115591.9680
46,"Dakshesh Trivedi",Router,5,0.00,236923.2500
46,"Dakshesh Trivedi",Marker,5,0.10,215628.1650
46,"Dakshesh Trivedi","Office Chair",12,0.00,450138.0000
84,"Dakshesh Trivedi",Monitor,8,0.00,438302.7200
84,"Dakshesh Trivedi","Cricket Bat",10,0.10,162282.0600
84,"Dakshesh Trivedi","Study Table",6,0.10,202983.6240
153,"Dakshesh Trivedi",Monitor,5,0.05,260242.2400
153,"Dakshesh Trivedi","Mobile Phone",10,0.05,222225.4250
23,"Netra Dar",Sofa,4,0.00,75630.4000
23,"Netra Dar","Badminton Racket",11,0.00,531598.4300
23,"Netra Dar","Study Table",7,0.00,263126.9200
48,"Netra Dar",Sofa,4,0.05,71848.8800
53,"Netra Dar","Water Purifier",11,0.15,194041.3915
131,"Netra Dar",Notebook,2,0.00,955.0400
145,"Netra Dar",Printer,6,0.15,71666.9850
156,"Netra Dar",Printer,7,0.00,98366.4500
156,"Netra Dar",Bookshelf,1,0.05,39304.3690
156,"Netra Dar","Yoga Mat",1,0.10,43529.4810
156,"Netra Dar",Notebook,9,0.00,4297.6800
106,"Oni Virk",Microwave,11,0.20,407785.9280
106,"Oni Virk","Mixer Grinder",6,0.00,201664.0200
141,"Oni Virk","Dumbbell Set",8,0.00,107184.3200
141,"Oni Virk",Bookshelf,10,0.00,413730.2000
141,"Oni Virk",Football,12,0.05,73178.4240
167,"Oni Virk",Monitor,9,0.05,468436.0320
167,"Oni Virk","Water Purifier",7,0.20,116217.3040
167,"Oni Virk","Cricket Bat",6,0.20,86550.4320
196,"Oni Virk","Office Chair",7,0.00,262580.5000
196,"Oni Virk",Notebook,10,0.20,3820.1600
196,"Oni Virk",Bed,4,0.15,81877.6440
11,"William Lanka",Headphones,2,0.15,36289.5090
11,"William Lanka",Fan,4,0.05,113255.3140
68,"William Lanka",Printer,6,0.00,84314.1000
68,"William Lanka","File Folder",9,0.20,202105.3680
68,"William Lanka","Mixer Grinder",9,0.05,287371.2285
68,"William Lanka",Marker,8,0.00,383338.9600
110,"William Lanka",Monitor,5,0.00,273939.2000
110,"William Lanka",Printer,3,0.10,37941.3450
33,"Diya Bora",Football,5,0.00,32095.8000
51,"Diya Bora","Study Table",5,0.00,187947.8000
51,"Diya Bora",Notebook,12,0.10,5157.2160
51,"Diya Bora",Router,3,0.00,142153.9500
121,"Diya Bora",Printer,10,0.20,112418.8000
121,"Diya Bora",Router,3,0.15,120830.8575
121,"Diya Bora",Football,8,0.00,51353.2800
121,"Diya Bora","Dumbbell Set",7,0.00,93786.2800
162,"Diya Bora","Water Purifier",12,0.00,249037.0800
8,"Ethan Yogi",Whiteboard,8,0.00,427698.2400
8,"Ethan Yogi",Marker,7,0.00,335421.5900
39,"Ethan Yogi","Dumbbell Set",1,0.00,13398.0400
64,"Ethan Yogi",Fan,11,0.05,311452.1135
64,"Ethan Yogi","Dumbbell Set",1,0.00,13398.0400
64,"Ethan Yogi",Marker,5,0.10,215628.1650
73,"Ethan Yogi","Yoga Mat",7,0.00,338562.6300
